Pi_Time_Source,Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Firefly_Detection,Pi_Receive_Time
internet,20:48:02,26.8,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:48:02
internet,20:48:07,26.7,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:48:07
internet,20:48:12,26.7,90.8,ON,OFF,Fireflies detected,2026-02-14 20:48:12
internet,20:48:17,26.1,90.9,ON,OFF,No fireflies detected,2026-02-14 20:48:19
internet,20:48:22,26.8,90.9,ON,OFF,Strong light detected,2026-02-14 20:48:24
internet,20:48:27,26.8,90.9,ON,OFF,Strong light detected,2026-02-14 20:48:35
internet,20:48:32,26.8,90.8,ON,OFF,No fireflies detected,2026-02-14 20:48:45
internet,20:48:37,26.8,90.7,ON,OFF,No fireflies detected,2026-02-14 20:50:46
internet,20:48:42,26.1,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:50:46
internet,20:48:47,26.8,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:50:46
internet,20:48:52,26.8,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:50:46
internet,20:48:57,26.8,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:50:46
internet,20:49:02,26.8,90.5,OFF,OFF,No fireflies detected,2026-02-14 20:50:46
internet,20:49:07,26.8,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:50:46
internet,20:49:12,26.8,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:49:17,26.8,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:49:22,26.8,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:49:27,26.8,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:49:32,26.8,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:49:37,26.1,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:49:42,26.8,90.4,ON,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:49:47,26.8,90.3,ON,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:49:52,26.8,90.4,ON,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:49:57,26.8,90.3,ON,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:02,27.4,90.3,ON,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:07,26.8,90.3,ON,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:12,26.8,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:17,27.4,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:22,26.8,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:27,26.1,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:32,26.1,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:37,26.8,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:42,26.7,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:47,26.1,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:47
internet,20:50:52,26.7,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:52
internet,20:50:57,27.4,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:50:57
internet,20:51:02,26.7,90.3,OFF,ON,Strong light detected,2026-02-14 20:51:02
internet,20:51:07,26.7,90.3,OFF,ON,Fireflies detected,2026-02-14 20:51:07
internet,20:51:12,26.8,90.3,ON,ON,Strong light detected,2026-02-14 20:51:12
internet,20:51:17,26.7,90.3,ON,ON,Strong light detected,2026-02-14 20:51:17
internet,20:51:22,26.7,90.3,ON,ON,Strong light detected,2026-02-14 20:51:22
internet,20:51:27,26.7,90.4,ON,ON,Strong light detected,2026-02-14 20:51:27
internet,20:51:32,26.7,90.3,ON,OFF,No fireflies detected,2026-02-14 20:51:32
internet,20:51:37,26.7,90.4,ON,OFF,No fireflies detected,2026-02-14 20:51:37
internet,20:51:42,26.7,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:51:42
internet,20:51:47,26.7,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:51:48
internet,20:51:52,26.7,90.4,OFF,OFF,Strong light detected,2026-02-14 20:51:53
internet,20:51:57,26.7,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:51:58
internet,20:52:02,26.7,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:52:03
internet,20:52:07,26.7,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:52:08
internet,20:52:12,26.7,90.4,OFF,OFF,Strong light detected,2026-02-14 20:52:13
internet,20:52:17,26.7,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:52:18
internet,20:52:22,26.7,90.5,OFF,OFF,Strong light detected,2026-02-14 20:52:23
internet,20:52:27,26.7,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:52:28
internet,20:52:32,26.7,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:52:33
internet,20:52:38,26.7,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:52:38
internet,20:52:43,26.7,90.7,ON,OFF,No fireflies detected,2026-02-14 20:52:43
internet,20:52:48,26.7,90.7,ON,OFF,No fireflies detected,2026-02-14 20:52:48
internet,20:52:53,26.7,90.7,ON,OFF,Strong light detected,2026-02-14 20:52:53
internet,20:52:58,26.7,90.8,ON,OFF,No fireflies detected,2026-02-14 20:52:58
internet,20:53:03,26.7,90.8,ON,OFF,No fireflies detected,2026-02-14 20:53:03
internet,20:53:08,26.7,90.8,ON,OFF,No fireflies detected,2026-02-14 20:53:08
internet,20:53:13,26.7,90.8,OFF,OFF,No fireflies detected,2026-02-14 20:53:13
internet,20:53:18,26.7,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:53:18
internet,20:53:23,26.7,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:53:23
internet,20:53:28,26.7,91.0,OFF,OFF,No fireflies detected,2026-02-14 20:53:28
internet,20:53:33,26.7,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:53:33
internet,20:53:38,26.7,90.8,OFF,OFF,Fireflies detected,2026-02-14 20:53:38
internet,20:53:43,26.7,90.8,OFF,OFF,Strong light detected,2026-02-14 20:53:43
internet,20:53:48,26.7,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:53:48
internet,20:53:53,26.7,90.8,OFF,OFF,No fireflies detected,2026-02-14 20:53:53
internet,20:53:58,26.7,90.8,OFF,OFF,No fireflies detected,2026-02-14 20:53:58
internet,20:54:03,26.7,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:54:03
internet,20:54:08,26.7,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:54:08
internet,20:54:13,26.7,90.7,ON,OFF,No fireflies detected,2026-02-14 20:54:13
internet,20:54:18,26.7,90.8,ON,OFF,No fireflies detected,2026-02-14 20:54:18
internet,20:54:23,26.7,90.8,ON,OFF,No fireflies detected,2026-02-14 20:54:23
internet,20:54:28,26.7,90.7,ON,OFF,No fireflies detected,2026-02-14 20:54:28
internet,20:54:33,26.7,90.7,ON,OFF,No fireflies detected,2026-02-14 20:54:33
internet,20:54:38,26.7,90.7,ON,OFF,No fireflies detected,2026-02-14 20:54:38
internet,20:54:43,26.7,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:54:43
internet,20:54:48,26.7,90.5,OFF,OFF,No fireflies detected,2026-02-14 20:54:48
internet,20:54:53,26.7,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:54:53
internet,20:54:58,26.7,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:54:58
internet,20:55:03,26.7,90.5,OFF,OFF,Strong light detected,2026-02-14 20:55:03
internet,20:55:08,26.7,90.5,OFF,OFF,No fireflies detected,2026-02-14 20:55:08
internet,20:55:13,26.7,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:55:13
internet,20:55:18,26.7,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:55:18
internet,20:55:23,26.7,90.7,OFF,OFF,Strong light detected,2026-02-14 20:55:23
internet,20:55:28,26.7,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:55:28
internet,20:55:33,26.7,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:55:33
internet,20:55:38,26.7,90.7,OFF,OFF,No fireflies detected,2026-02-14 20:55:38
internet,20:55:43,27.3,90.7,ON,OFF,No fireflies detected,2026-02-14 20:55:43
internet,20:55:48,26.7,90.7,ON,OFF,No fireflies detected,2026-02-14 20:55:48
internet,20:55:53,26.0,90.8,ON,OFF,No fireflies detected,2026-02-14 20:55:53
internet,20:55:58,27.3,90.8,ON,OFF,No fireflies detected,2026-02-14 20:55:58
